rank,bigram,count,share,movement_class,from_hand,from_finger,from_home_key,from_home_reach,to_hand,to_finger,to_home_key,to_home_reach,combined_home_reach,max_home_reach,same_finger_travel,row_change,row_span,roll_direction,outer_finger_involved,pinky_involved,top_words
311,ya,444542870,0.00015765816439119228,alternate_hands,R,index,j,1.6008,L,pinky,a,0.0,1.6008,1.6008,,True,1.0,cross_hand,True,True,"royal, yards, yard, voyage, loyalty, payable, yale, loyal, kenya, yang, ryan, courtyard"
312,gt,434302509,0.0001540263965080112,same_finger_different_key,L,index,f,1.0,L,index,f,1.25,2.25,1.25,1.0308,True,1.0,same_finger,False,False,"length, washington, strength, strengthen, strengthened, lengths, wavelength, strengths, strengthening, lengthy, wellington, lexington"
313,wl,429185823,0.00015221175189898594,alternate_hands,L,ring,s,1.0308,R,ring,l,0.0,1.0308,1.0308,,True,1.0,cross_hand,True,False,"knowledge, slowly, newly, acknowledged, acknowledge, bowl, acknowledgment, acknowledgments, narrowly, acknowledging, acknowledges, owl"
314,rh,426095630,0.00015111580775304897,alternate_hands,L,index,f,1.0308,R,index,j,1.0,2.0308,1.0308,,True,1.0,cross_hand,False,False,"perhaps, neighborhood, rhythm, rhetoric, overhead, neighbourhood, rhetorical, rhode, durham, brotherhood, hemorrhage, rhine"
315,yl,416082307,0.00014756455942544424,same_hand_different_fingers,R,index,j,1.6008,R,ring,l,0.0,1.6008,1.6008,,True,1.0,outward,True,False,"style, pennsylvania, taylor, styles, cylinder, maryland, daylight, lifestyle, asylum, methyl, cylindrical, syllable"
316,hs,414044112,0.00014684170882079659,alternate_hands,R,index,j,1.0,L,ring,s,0.0,1.0,1.0,,False,0.0,cross_hand,True,False,"months, notwithstanding, photographs, paths, deaths, truths, depths, lengths, paragraphs, myths, strengths, mouths"
317,ah,384694919,0.0001364329491555188,alternate_hands,L,pinky,a,0.0,R,index,j,1.0,1.0,1.0,,False,0.0,cross_hand,True,True,"ahead, ah, abraham, sarah, graham, yeah, oklahoma, shah, utah, isaiah, messiah, hannah"
318,yc,380670476,0.00013500567107078203,alternate_hands,R,index,j,1.6008,L,middle,d,1.118,2.7188,1.6008,,True,2.0,cross_hand,False,False,"psychology, psychological, cycle, cycles, psychiatric, psychiatry, psychic, psychologists, psychotherapy, joyce, psychologist, encyclopedia"
319,yn,372595315,0.00013214179641135189,same_finger_different_key,R,index,j,1.6008,R,index,j,1.118,2.7188,1.6008,2.136,True,2.0,same_finger,False,False,"dynamic, syndrome, synthesis, dynamics, dynasty, synthetic, reynolds, syntax, wayne, brooklyn, lynn, synagogue"
320,rw,359714599,0.00012757362047681434,same_hand_different_fingers,L,index,f,1.0308,L,ring,s,1.0308,2.0616,1.0308,,False,0.0,outward,True,False,"forward, otherwise, afterwards, afterward, overwhelming, norway, darwin, straightforward, doorway, norwegian, overwhelmed, underwent"
321,hm,359316447,0.0001274324149425344,same_finger_different_key,R,index,j,1.0,R,index,j,1.118,2.118,1.118,1.8028,True,1.0,same_finger,False,False,"establishment, punishment, attachment, algorithm, rhythm, richmond, arithmetic, establishments, detachment, algorithms, englishman, accomplishment"
322,lw,356374125,0.0001263889135912073,alternate_hands,R,ring,l,0.0,L,ring,s,1.0308,1.0308,1.0308,,True,1.0,cross_hand,True,False,"always, railway, railways, milwaukee, hallway, whirlwind, bulwark, galway, stalwart, bulwer, selwyn, bulwarks"
323,hl,355049620,0.00012591917480757334,same_hand_different_fingers,R,index,j,1.0,R,ring,l,0.0,1.0,1.0,,False,0.0,outward,True,False,"highly, thoroughly, monthly, roughly, chloride, earthly, pamphlet, athletic, highlight, chlorine, smoothly, highlands"
