# provisional=true — until learner error/hesitation data exists (DEC-16)
# word_floor_subtlex_freqcount=250
# word_floor_subtlex_cdcount=100
# word_lower_ratio=0.5
# excluded_words=39
# word_floor_per_million=5.0
# source=Google Books word list ∩ SUBTLEX-US
# order=SUBTLEX-US frequency desc, then word
word,subtlex_freqcount,subtlex_cdcount,provisional
possibly,2494,1819,True
rain,2494,1446,True
above,2493,1778,True
cousin,2491,1041,True
pulled,2488,1832,True
cream,2484,1345,True
dropped,2482,1814,True
excited,2479,1712,True
memory,2477,1514,True
breathe,2474,1424,True
enemy,2474,1229,True
huge,2467,1629,True
search,2467,1549,True
drugs,2464,1212,True
greatest,2464,1598,True
beauty,2460,1504,True
lately,2459,1795,True
rule,2455,1533,True
build,2452,1542,True
choose,2451,1625,True
cards,2449,1353,True
advice,2447,1679,True
immediately,2446,1616,True
teeth,2440,1626,True
became,2435,1610,True
victim,2434,1176,True
coach,2429,599,True
flowers,2427,1322,True
showed,2425,1827,True
crew,2424,1036,True
driver,2416,1398,True
heavy,2412,1688,True
trick,2411,1526,True
empty,2409,1764,True
comfortable,2408,1763,True
destroy,2406,1427,True
brothers,2400,1271,True
mission,2400,1135,True
apart,2398,1821,True
pool,2396,1200,True
dumb,2395,1501,True
dressed,2394,1708,True
helped,2388,1797,True
knife,2387,1255,True
